S.No.,Base Form,Past Form,Past Participle Form,s / es/ ies
857,stay,stayed,stayed,stays
858,steal,stole,stolen,steals
859,steep,steeped,steeped,steeps
860,stem,stemmed,stemmed,stems
861,step,stepped,stepped,steps
862,sterilize,sterilized,sterilized,sterilizes
863,stick,stuck,stuck,sticks
864,stimulate,stimulated,stimulated,stimulates
865,sting,stung,stung,stings
866,stink,stank,stunk,stinks
867,stir,stirred,stirred,stirs
868,stitch,stitched,stitched,stitches
869,stoop,stooped,stooped,stoops
870,stop,stopped,stopped,stops
871,store,stored,stored,stores
872,strain,strained,strained,strains
873,stray,strayed,strayed,strays
874,stress,stressed,stressed,stresses
875,stretch,stretched,stretched,stretches
876,strew,strewed,strewn,strews
877,stride,strode,stridden,strides
878,strike,struck,struck/stricken,strikes
879,string,strung,strung,strings
880,strive,strove,striven,strives
881,study,studied,studied,studies
882,submit,submitted,submitted,submits
883,subscribe,subscribed,subscribed,subscribes
884,subtract,subtracted,subtracted,subtracts
885,succeed,succeeded,succeeded,succeeds
886,suck,sucked,sucked,sucks
887,suffer,suffered,suffered,suffers
888,suggest,suggested,suggested,suggests
889,summon,summoned,summoned,summons
890,supply,supplied,supplied,supplies
891,support,supported,supported,supports
892,suppose,supposed,supposed,supposes
893,surge,surged,surged,surges
894,surmise,surmised,surmised,surmises
895,surpass,surpassed,surpassed,surpasses
896,surround,surrounded,surrounded,surrounds
897,survey,surveyed,surveyed,surveys
898,survive,survived,survived,survives
899,swallow,swallowed,swallowed,swallows
900,sway,swayed,swayed,sways
901,swear,swore,sworn,swears
902,sweat,sweat,sweat,sweats
903,sweep,swept,swept,sweeps
904,swell,swelled,swollen,swells
905,swim,swam,swum,swims
906,swing,swung,swung,swings
907,swot,swotted,swotted,swots
908,take,took,taken,takes
909,talk,talked,talked,talks
910,tap,tapped,tapped,taps
911,taste,tasted,tasted,tastes
912,tax,taxed,taxed,taxes
913,teach,taught,taught,teaches
914,tear,tore,torn,tears
915,tee,teed,teed,tees
916,tell,told,told,tells
917,tempt,tempted,tempted,tempts
918,tend,tended,tended,tends
919,terminate,terminated,terminated,terminates
920,terrify,terrified,terrified,terrifies
921,test,tested,tested,tests
922,thank,thanked,thanked,thanks
923,think,thought,thought,thinks
924,thrive,throve,thriven,thrives
925,throw,threw,thrown,throws
926,thrust,thrust,thrust,thrusts
927,thump,thumped,thumped,thumps
928,tie,tied,tied,ties
929,tire,tired,tired,tires
930,toss,tossed,tossed,tosses
931,touch,touched,touched,touches
932,train,trained,trained,trains
933,trample,trampled,trampled,tramples
934,transfer,transferred,transferred,transfers
935,transform,transformed,transformed,transforms
936,translate,translated,translated,translates
937,trap,trapped,trapped,traps
938,travel,travelled,travelled,travels
939,tread,trod,trodden,treads
940,treasure,treasured,treasured,treasures
941,treat,treated,treated,treats
942,tree,treed,treed,trees
943,tremble,trembled,trembled,trembles
944,triumph,triumphed,triumphed,triumphs
945,trust,trusted,trusted,trusts
946,try,tried,tried,tries
947,turn,turned,turned,turns
948,type,typed,typed,types
949,typeset,typeset,typeset,typesets
950,understand,understood,understood,understands
951,undo,undid,undone,undoes
952,uproot,uprooted,uprooted,uproots
953,upset,upset,upset,upsets
954,urge,urged,urged,urges
955,use,used,used,uses
956,utter,uttered,uttered,utters
957,value,valued,valued,values
958,vanish,vanished,vanished,vanishes
959,vary,varied,varied,varies
960,verify,verified,verified,verifies
961,vex,vexed,vexed,vexes
962,vie,vied,vied,vies
963,view,viewed,viewed,views
964,violate,violated,violated,violates
965,vomit,vomited,vomited,vomits
966,wake,woke,woken,wakes
967,walk,walked,walked,walks
968,wander,wandered,wandered,wanders
969,want,wanted,wanted,wants
970,warn,warned,warned,warns
971,waste,wasted,wasted,wastes
972,watch,watched,watched,watches
973,water,watered,watered,waters
974,wave,waved,waved,waves
975,wax,waxed,waxed,waxes
976,waylay,waylaid,waylaid,waylays
977,wear,wore,worn,wears
978,weave,wove,woven,weaves
979,wed,wed,wed,weds
980,weep,wept,wept,weeps
981,weigh,weighed,weighed,weighs
982,welcome,welcomed,welcomed,welcomes
983,wend,went,went,wends
984,wet,wet,wet,wets
985,whip,whipped,whipped,whips
986,whisper,whispered,whispered,whispers
987,win,won,won,wins
988,wind,wound,wound,winds
989,wish,wished,wished,wishes
990,withdraw,withdrew,withdrawn,withdraws
991,work,worked,worked,works
992,worry,worried,worried,worries
993,worship,worshipped,worshipped,worships
994,wring,wrung,wrung,wrings
995,write,wrote,written,writes
996,yawn,yawned,yawned,yawns
997,yell,yelled,yelled,yells
998,yield,yielded,yielded,yields
999,zinc,zincked,zincked,zincs
1000,zoom,zoomed,zoomed,zooms
